x=0.0465977  density=0.168725
x=0.244978  density=0.166261
x=0.599672  density=0.153933
x=1.107  density=0.122331
x=1.76159  density=0.0721808
x=2.55651  density=0.0256356
x=3.48334  density=0.00422204
x=4.53224  density=0.000243967
x=5.69211  density=3.77973e-06
x=6.95064  density=1.23166e-08
x=8.29449  density=6.87273e-12
x=9.70943  density=5.60426e-16
x=11.1804  density=6.03157e-21
x=12.692  density=8.26e-27
x=14.2279  density=1.49111e-33
x=15.7721  density=3.96611e-41
x=17.308  density=1.87658e-49
x=18.8196  density=2.05565e-58
x=20.2906  density=7.27576e-68
x=21.7055  density=1.23504e-77
x=23.0494  density=1.56987e-87
x=24.3079  density=2.42163e-97
x=25.4678  density=7.51043e-107
x=26.5167  density=7.80173e-116
x=27.4435  density=4.47021e-124
x=28.2384  density=2.26099e-131
x=28.893  density=1.54461e-137
x=29.4003  density=2.05404e-142
x=29.755  density=7.12408e-146
x=29.9534  density=7.93263e-148
