x=0.0465977  density=0.222497
x=0.244978  density=0.218593
x=0.599672  density=0.199203
x=1.107  density=0.150782
x=1.76159  density=0.0792144
x=2.55651  density=0.0222941
x=3.48334  density=0.00245147
x=4.53224  density=7.55997e-05
x=5.69211  density=4.75844e-07
x=6.95064  density=4.58629e-10
x=8.29449  density=5.30085e-14
x=9.70943  density=6.08081e-19
x=11.1804  density=6.12939e-25
x=12.692  density=5.19649e-32
x=14.2279  density=3.86627e-40
x=15.7721  density=2.8857e-49
x=17.308  density=2.7097e-59
x=18.8196  density=4.39381e-70
x=20.2906  density=1.8367e-81
x=21.7055  density=3.18214e-93
x=23.0494  density=3.90426e-105
x=24.3079  density=6.06187e-117
x=25.4678  density=2.18548e-128
x=26.5167  density=3.37979e-139
x=27.4435  density=4.08445e-149
x=28.2384  density=6.78969e-158
x=28.893  density=2.58915e-165
x=29.4003  density=3.51496e-171
x=29.755  density=2.41503e-175
x=29.9534  density=1.07815e-177
